City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
212,Galapagar,ES,40.5783,-4.0043,68.77,55,100,1.99,overcast clouds
213,Iki-Burul,RU,45.8208,44.6472,72.5,42,0,7.96,clear sky
214,Ndele,CF,8.4109,20.6473,71.94,90,84,10.4,moderate rain
215,Bandipur,NP,27.9333,84.4167,68.72,79,54,2.46,broken clouds
216,Sadat,IN,25.6833,83.2833,91.74,34,0,6.26,clear sky
217,Thongwa,MM,16.7619,96.5278,78.96,83,100,5.44,overcast clouds
218,Stephenville,US,32.2207,-98.2023,91.76,48,75,12.66,broken clouds
219,Acajutla,SV,13.5928,-89.8275,83.95,68,35,7.29,scattered clouds
220,Middle Island,US,40.8843,-72.9373,87.87,64,0,16.11,clear sky
221,Sao Filipe,CV,14.8961,-24.4956,75.88,80,5,11.23,clear sky
222,Lufilufi,WS,-13.8745,-171.5986,81.93,71,13,16.15,few clouds
223,Saskylakh,RU,71.9167,114.0833,19.49,98,100,2.39,overcast clouds
224,Tasiilaq,GL,65.6145,-37.6368,37.4,87,57,4.61,broken clouds
225,Fuerte Olimpo,PY,-21.0415,-57.8738,63.3,96,100,5.59,overcast clouds
226,Tahta,EG,26.7693,31.5021,90.46,10,0,9.86,clear sky
227,Arraial Do Cabo,BR,-22.9661,-42.0278,76.96,73,40,4.61,scattered clouds
228,Kenai,US,60.5544,-151.2583,64.02,78,0,6.91,fog
229,Pangnirtung,CA,66.1451,-65.7125,35.85,92,9,2.15,clear sky
230,Port Blair,IN,11.6667,92.75,81.72,85,95,14.34,overcast clouds
231,Klaksvik,FO,62.2266,-6.589,47.32,89,100,11.25,overcast clouds
232,Morro Bay,US,35.3658,-120.8499,82.72,56,9,11.01,clear sky
233,Parang,PH,7.3704,124.2697,73.06,86,100,3.53,overcast clouds
234,Venice,US,27.0998,-82.4543,92.14,64,20,11.99,few clouds
235,Kavaratti,IN,10.5669,72.642,82.87,72,100,10.94,overcast clouds
236,San Cristobal,VE,7.7669,-72.225,80.78,50,96,7.16,overcast clouds
237,Kautokeino,NO,69.0125,23.0412,50.95,49,18,12.97,few clouds
238,Port Hawkesbury,CA,45.6169,-61.3485,63.59,90,75,5.01,broken clouds
239,Sucua,EC,-2.4667,-78.1667,81.34,61,20,6.91,moderate rain
240,Kerema,PG,-7.9631,145.7785,75.92,87,100,3.67,overcast clouds
241,Coxim,BR,-18.5067,-54.76,87.53,43,83,8.57,broken clouds
242,Puerto Madryn,AR,-42.7692,-65.0385,45.99,46,11,13.87,few clouds
243,Subiaco,IT,41.9254,13.0941,70.66,87,17,4.27,few clouds
244,Mahibadhoo,MV,3.7833,72.9667,81.59,79,100,19.15,overcast clouds
245,Dondaicha,IN,21.3333,74.5667,82.99,63,6,23.31,clear sky
246,Richards Bay,ZA,-28.783,32.0377,58.87,69,24,5.86,few clouds
247,Burnie,AU,-41.0667,145.9167,44.92,91,100,10.22,moderate rain
248,Mayo,US,38.8876,-76.5119,93.2,65,0,9.22,clear sky
249,Waingapu,ID,-9.6567,120.2641,77.13,83,56,2.75,broken clouds
250,Hobyo,SO,5.3505,48.5268,78.96,83,3,25.95,clear sky
251,Cidreira,BR,-30.1811,-50.2056,54.91,61,26,13.22,scattered clouds
252,Pinega,RU,64.7001,43.3936,58.12,74,98,6.02,overcast clouds
253,Coquimbo,CL,-29.9533,-71.3436,56.93,71,0,10.36,clear sky
254,Manta,EC,-0.95,-80.7333,76.55,77,86,12.75,overcast clouds
255,Airai,TL,-8.9266,125.4092,59.9,89,47,1.86,scattered clouds
256,Egvekinot,RU,66.3167,-179.1667,35.37,74,65,4.47,broken clouds
257,Salto,UY,-31.3833,-57.9667,53.87,47,0,11.99,clear sky
258,Isangel,VU,-19.55,169.2667,77.59,87,12,5.79,few clouds
259,Bandundu,CD,-3.3167,17.3667,78.66,65,32,1.45,scattered clouds
260,Conakry,GN,9.538,-13.6773,81.79,81,73,9.24,broken clouds
261,Codrington,AU,-38.2667,141.9667,46.94,78,89,15.66,light rain
262,Marzuq,YE,14.4,46.4667,79.25,41,41,5.37,scattered clouds
263,Boa Vista,BR,2.8197,-60.6733,89.58,51,40,6.91,scattered clouds
264,Brae,GB,60.3964,-1.353,49.24,81,17,8.66,few clouds
265,Kurilsk,RU,45.2333,147.8833,44.42,92,47,3.22,scattered clouds
266,Pozo Colorado,PY,-23.4923,-58.7972,64.33,63,100,8.75,overcast clouds
267,Batemans Bay,AU,-35.7167,150.1833,50.09,63,60,11.45,broken clouds
268,Vao,NC,-22.6667,167.4833,76.15,83,74,14.76,broken clouds
269,Bandarbeyla,SO,9.4942,50.8122,79.9,80,100,26.22,overcast clouds
270,Panalingaan,PH,8.7842,117.4231,78.93,84,100,3.44,overcast clouds
271,Fort Nelson,CA,58.8053,-122.7002,64.26,36,55,3.76,broken clouds
272,Cabo San Lucas,MX,22.8909,-109.9124,88.11,37,0,13.8,clear sky
273,Grenaa,DK,56.4158,10.8783,55.62,88,100,1.95,overcast clouds
274,Maningrida,AU,-12.0667,134.2667,73.94,93,97,5.3,overcast clouds
275,Lanigan,CA,51.8501,-105.0344,53.85,80,100,19.73,overcast clouds
276,Zhigansk,RU,66.7697,123.3711,35.17,81,100,15.7,overcast clouds
277,Haines Junction,CA,60.7522,-137.5108,64.31,30,0,3.18,clear sky
278,Mar Del Plata,AR,-38.0023,-57.5575,49.08,53,40,8.05,scattered clouds
279,Yumen,CN,40.2833,97.2,68.47,18,99,8.23,overcast clouds
280,Lompoc,US,34.6391,-120.4579,71.74,59,0,28.01,clear sky
281,Smithers,CA,54.7804,-127.1743,67.41,36,42,1.83,scattered clouds
282,Aklavik,CA,68.2191,-135.0107,37.4,75,75,8.05,broken clouds
283,Narsaq,GL,60.9167,-46.05,50.22,74,69,7.76,broken clouds
284,Srednekolymsk,RU,67.45,153.6833,51.51,57,100,11.3,overcast clouds
285,Wanning,CN,18.8003,110.3967,79.68,92,70,7.09,broken clouds
286,Maarianhamina,AX,60.0973,19.9348,49.86,81,0,4.61,clear sky
287,Jumla,NP,29.2747,82.1838,55.35,86,50,0.76,scattered clouds
288,Juneau,US,58.3019,-134.4197,68.85,66,0,11.5,clear sky
289,Hammerfest,NO,70.6634,23.6821,55.85,33,0,10.36,clear sky
290,Corinto,GR,37.9407,22.9573,73.42,67,9,1.72,clear sky
291,Cap Malheureux,MU,-19.9842,57.6142,72.46,74,95,5.01,overcast clouds
292,Gombong,ID,-7.6072,109.5142,75.92,89,49,2.01,scattered clouds
293,Gull Lake,CA,50.1001,-108.4847,58.71,58,88,22.62,overcast clouds
294,Motala,SE,58.5371,15.0365,51.53,82,100,5.79,overcast clouds
295,Kupang,ID,-10.1667,123.5833,76.5,85,99,2.21,overcast clouds
296,Hohhot,CN,40.8106,111.6522,58.21,19,16,2.33,few clouds
297,Ondjiva,AO,-17.0667,15.7333,63.07,35,5,7.72,clear sky
298,Umm Kaddadah,SD,13.6017,26.6876,86.59,11,10,6.6,clear sky
299,Gillette,US,44.2911,-105.5022,49.12,94,100,14.97,overcast clouds
300,Cayenne,GF,4.9333,-52.3333,77.09,1,75,0.0,broken clouds
301,Pimenta Bueno,BR,-11.6725,-61.1936,87.19,59,27,2.59,scattered clouds
302,Champerico,GT,14.3,-91.9167,90.14,67,62,7.72,broken clouds
303,Esqueda,MX,30.7167,-109.5833,86.14,11,0,20.15,clear sky
304,Turukhansk,RU,65.8167,87.9833,44.82,82,80,10.22,broken clouds
305,Sao Francisco De Assis,BR,-29.5503,-55.1311,50.61,64,0,9.26,clear sky
306,Mengcheng,CN,33.2579,116.5655,68.14,64,97,7.58,overcast clouds
307,Burley,US,42.5357,-113.7928,41.31,87,100,13.8,overcast clouds
308,Duluth,US,46.7833,-92.1066,80.08,77,20,12.66,few clouds
309,Bourail,NC,-21.5667,165.4833,71.35,88,99,3.76,overcast clouds
310,Aransas Pass,US,27.9095,-97.15,91.4,77,40,25.32,scattered clouds
311,Ahipara,NZ,-35.1667,173.1667,59.77,92,100,6.96,overcast clouds
312,Mayskiy,RU,47.6931,40.1025,69.21,71,91,7.56,overcast clouds
313,Lensk,RU,60.7253,114.9278,43.65,61,16,0.63,few clouds
314,Nantucket,US,41.2835,-70.0995,77.14,82,0,10.36,clear sky
315,Mezhdurechensk,RU,53.6942,88.0603,59.67,92,100,3.47,overcast clouds
316,Varhaug,NO,58.6147,5.6457,50.85,75,26,2.26,scattered clouds
317,Bungoma,KE,0.5635,34.5606,61.47,94,100,3.15,overcast clouds
318,Ust-Kuyga,RU,70.0167,135.6,31.95,97,100,3.89,overcast clouds
319,Yajalon,MX,17.2333,-92.3333,84.02,59,78,3.96,broken clouds
320,Bilma,NE,18.6853,12.9164,93.56,7,0,8.57,clear sky
321,Pusztaszabolcs,HU,47.1372,18.767,57.58,83,86,3.76,overcast clouds
322,Tuy Hoa,VN,13.0833,109.3,79.38,83,37,4.09,scattered clouds
323,Rawson,AR,-43.3002,-65.1023,46.36,47,47,12.64,scattered clouds
324,Karratha,AU,-20.7377,116.8463,61.93,85,99,23.33,light rain
325,Atar,MR,20.5169,-13.0499,96.82,14,9,9.89,clear sky
326,Sembe,CG,1.6481,14.5806,71.26,97,94,1.43,overcast clouds
327,Parga,GR,39.2831,20.3964,68.49,80,0,2.82,clear sky
